,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
3,0.8992069810628891,0.842333197593689,0.9203604906797409,0.8376472592353821,0.6361654781577983,0.6505121160171412,0.6450902732369277,0.5753589712535194,0.748389333486557,0.7505626778581829,0.9906402723863721,0.8376472592353821,0.7322402425188036,0.7729900718649789,0.7015464770881333
6,0.023550312966108322,0.510642945766449,0.05965413898229599,0.01395920105278492,0.35306841698194885,0.4068889221688488,0.4387250760071194,0.24557500896268913,0.020562807098031044,0.2302918699984751,0.00935972761362791,0.020562807098031044,0.21879508906893624,0.2055491669834561,0.33290290551432844
7,0.1410902738571167,0.02049410343170166,0.23540395498275757,0.21930193901062012,0.5597434679988655,0.4859721439872403,0.4953295503068499,0.5140393160510368,0.10639452934265137,0.3086410309965377,0.010516464710235596,0.11471730470657349,0.13110125195964606,0.11724032862751299,0.23611728229961126
10,0.9409605525434017,0.9774678442627192,0.9561116918921471,0.8600999414920807,0.7377447267262071,0.6410239582511297,0.7111184556472048,0.6800798029946417,0.8459386974573135,0.8167272968074273,0.9906402723863721,0.8600999414920807,0.8600999414920807,0.8006041928700351,0.7872177688978791
11,0.9913980001583695,0.9826357048004866,0.9556853473186493,0.8524941802024841,0.8682379639576159,0.8511215777396645,0.8000229246479319,0.7376433481455242,0.994861776009202,0.8926778692199918,0.9906402723863721,0.994861776009202,0.9407713522085016,0.9473480509023182,0.8864061277289421
15,0.01137431338429451,0.007402236107736826,0.018516063690185547,0.00798442866653204,0.1632609957659874,0.1862552980690249,0.17958504228848715,0.15907779939421474,0.012327377684414387,0.08286483945009751,0.00935972761362791,0.012327377684414387,0.008473927285593664,0.03435077318827263,0.06919217464629618
17,0.6481415629386902,0.22324833273887634,0.5231063961982727,0.6542894244194031,0.460834271780988,0.2963909736722428,0.48514725255656205,0.3736117325544094,0.6850679516792297,0.4833153220598527,0.9894835352897644,0.6542894244194031,0.5559301222719586,0.5887584925674537,0.5290518545754236
18,0.020768046379089355,0.516688883304596,0.052408695220947266,0.6308690309524536,0.2986601285823255,0.4376662814018285,0.5876749073136612,0.5187560718028033,0.06162738800048828,0.3472354925509104,0.9906402723863721,0.5187560718028033,0.5008356281485227,0.5332506949208436,0.510280347965386
20,0.2001570463180542,0.1493351012468338,0.2190023958683014,0.026021838188171387,0.5305111144300612,0.4777625213060051,0.36530040823435933,0.31381633867794856,0.10309111326932907,0.2649997641710071,0.00935972761362791,0.10309111326932907,0.05351236582751317,0.0909717370037837,0.16776982690961198
22,0.004029269330203533,0.006384284235537052,0.003316809656098485,0.003809091169387102,0.10644402288874702,0.0940476925369782,0.12556634534350639,0.06624562557518605,0.003201622050255537,0.0458938625317666,0.00935972761362791,0.003201622050255537,0.003597707392045617,0.013257126340086571,0.02640665631000511
27,0.32006579637527466,0.14989422261714935,0.270096093416214,0.37339916825294495,0.26229224317169164,0.2744320080026552,0.21378406539078146,0.22271956295998982,0.07429199665784836,0.2401083507605055,0.00935972761362791,0.07429199665784836,0.22384184240498672,0.19956577838557815,0.25168088838494546
