,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
sensitivity,0.7955,0.78094,0.80318,0.74526,0.78148,0.7523799999999999,0.7815000000000001,0.77408,0.7664000000000001,0.79576,0.7746200000000001,0.75926,0.7669600000000001,0.78148,0.8034399999999999
specificity,0.8187599999999999,0.82502,0.7874800000000001,0.78752,0.79374,0.81874,0.80626,0.78752,0.8125,0.8187599999999999,0.76876,0.7999799999999999,0.7937799999999999,0.8000399999999999,0.8000399999999999
ppv,0.79432,0.7980799999999999,0.7674,0.7510999999999999,0.77268,0.78966,0.78064,0.7616799999999999,0.7912600000000001,0.79402,0.7407600000000001,0.7702,0.7646,0.77352,0.7778400000000001
npv,0.8266199999999999,0.8142400000000001,0.82452,0.7870600000000001,0.8072799999999999,0.79174,0.81074,0.80238,0.8137399999999999,0.82578,0.8017399999999999,0.79416,0.7993,0.8094000000000001,0.8257800000000002
gmean_sens_spec,0.80532,0.80192,0.79426,0.7646599999999999,0.7862199999999999,0.7837799999999999,0.79294,0.77984,0.78296,0.80578,0.7710800000000001,0.7783199999999999,0.77914,0.79024,0.80112
gmean_all_metrics,0.8074999999999999,0.80382,0.79466,0.76648,0.7877799999999999,0.7869999999999999,0.79406,0.78064,0.7914,0.8075000000000001,0.77076,0.78006,0.7803,0.79064,0.8011800000000001
roc_auc,0.8945599999999999,0.8802399999999999,0.8920999999999999,0.8525,0.8956799999999999,0.8805400000000001,0.8897400000000001,0.8725200000000001,0.88128,0.8971600000000001,0.7716999999999999,0.86854,0.88034,0.8810800000000001,0.8911
accuracy,0.8083199999999999,0.8049799999999999,0.79488,0.7679199999999999,0.78842,0.7884399999999999,0.7950199999999998,0.78154,0.79154,0.8084,0.7713599999999999,0.78148,0.7816000000000001,0.7916399999999999,0.8017399999999999
sensitivity,0.75952,0.74444,0.76668,0.7373000000000001,0.73044,0.7008,0.73756,0.7592399999999999,0.73782,0.75898,0.7301599999999999,0.73756,0.73704,0.74444,0.74444
specificity,0.78126,0.82498,0.8375199999999999,0.8125,0.8375,0.88124,0.8999600000000001,0.8625,0.8125,0.86876,0.8062400000000001,0.8187599999999999,0.8562799999999999,0.85002,0.86252
ppv,0.75234,0.7905200000000001,0.8061399999999999,0.7817000000000001,0.79932,0.83844,0.8632200000000001,0.83058,0.77548,0.8375600000000001,0.77088,0.7862,0.82118,0.8162800000000001,0.83156
npv,0.79024,0.7925599999999999,0.80722,0.7827999999999999,0.7840799999999999,0.77498,0.8007799999999999,0.8069200000000001,0.78716,0.8086,0.7776,0.7830999999999999,0.79292,0.7959400000000001,0.79694
gmean_sens_spec,0.76972,0.7819800000000001,0.80044,0.77224,0.78102,0.78528,0.81448,0.8084199999999999,0.7713600000000002,0.8110799999999999,0.7656000000000001,0.7757400000000001,0.79298,0.7942199999999999,0.80026
gmean_all_metrics,0.7702600000000001,0.78636,0.80336,0.77676,0.78608,0.7954399999999999,0.82286,0.81334,0.7759400000000001,0.8167399999999999,0.76956,0.7798,0.7996000000000001,0.7998000000000001,0.8068199999999999
roc_auc,0.85792,0.87212,0.89002,0.8571799999999999,0.8702400000000001,0.87532,0.8839600000000001,0.8689600000000001,0.84778,0.88386,0.77144,0.86128,0.8632799999999999,0.8736400000000002,0.8829600000000001
accuracy,0.77132,0.78802,0.8049200000000001,0.77806,0.78826,0.7981,0.8250399999999999,0.81504,0.7781,0.8183199999999999,0.7713599999999999,0.78124,0.8015399999999999,0.8016,0.8084
