,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
3,0.9824869390577078,0.9370623975992203,0.537758857011795,0.948664452880621,0.8826654433461875,0.7067929613415007,0.6880773143404463,0.7886488557882049,0.4732416272163391,0.7717109831757802,0.9911883994936943,0.8221458603674028,0.918505363009415,0.8177040580777362,0.841341080271252
6,0.04176246002316475,0.5943021178245544,0.1307341605424881,0.9152076244354248,0.2485746138677919,0.6851589178416697,0.4829862934897279,0.691827314336892,0.310556560754776,0.45567889590183225,0.988746702671051,0.855467677116394,0.6500898945282745,0.6446929108688159,0.638199028518471
7,0.14994239807128906,0.9663589186966419,0.6696818470954895,0.9926181407645345,0.5190011509912988,0.6458715205294989,0.6043946322616613,0.7927569826873314,0.7503829151391983,0.676778722915216,0.9911883994936943,0.9926181407645345,0.7578379115873203,0.6956948947811957,0.6904878823376805
10,0.06894141435623169,0.8047177940607071,0.23434585332870483,0.02315998077392578,0.5654183833358244,0.5920225659178495,0.4852177511829978,0.43699078616988773,0.04164654016494751,0.3613845632545641,0.011253297328948975,0.5216816361272227,0.284124537347374,0.26473405554550145,0.31624443973421124
11,0.09012234210968018,0.6017465591430664,0.12602096796035767,0.32531440258026123,0.3484635551844506,0.45366377386447365,0.2769857857109339,0.5458933400540829,0.06819522380828857,0.3151562167128439,0.011253297328948975,0.23265552520751953,0.365088624829607,0.2979867938193559,0.33487471375028555
15,0.01363309659063816,0.3876924216747284,0.1599285900592804,0.21322059631347656,0.1310809387188325,0.23644312719632524,0.35183220131205845,0.4344408068737251,0.3949057161808014,0.25813083276887405,0.008811600506305695,0.13567231595516205,0.31440669760579404,0.24874059317399824,0.24382073025883122
17,0.5139654278755188,0.0768471285700798,0.11259571462869644,0.3269929885864258,0.3585052815156034,0.3210544544629513,0.38769374190530975,0.33776796679544807,0.07087615132331848,0.27847765062926133,0.008811600506305695,0.07610679417848587,0.14029635898142792,0.18224993666874192,0.26481243471367827
18,0.012565553188323975,0.9609001167118549,0.830178365111351,0.10866564512252808,0.3628605611217661,0.6752516454342212,0.5717167609782289,0.5622062344205924,0.49241578578948975,0.5085289630975951,0.011253297328948975,0.32765257358551025,0.5525033265903837,0.4842175247534666,0.4836037192028083
20,0.875006377696991,0.23955652117729187,0.574621319770813,0.8016785979270935,0.35138398181493535,0.36805551347434906,0.5815594411527244,0.5643510820783267,0.8964753150939941,0.5836320166873911,0.988746702671051,0.19444917142391205,0.25958620437094526,0.4815716306763754,0.4237885003389037
22,0.035753149539232254,0.07099930942058563,0.0855250209569931,0.052946243435144424,0.09073271321870278,0.1519635840520916,0.16569075820110377,0.19229207129576908,0.07068168371915817,0.10184272598208675,0.008811600506305695,0.12035885453224182,0.09217080857676209,0.10790248432679325,0.13331402121178465
