,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
sensitivity,0.7820199999999999,0.75212,0.78176,0.70184,0.77406,0.7672,0.80426,0.7532,0.7820199999999999,0.7823,0.71666,0.768,0.76802,0.7606200000000001,0.74578
specificity,0.8124800000000001,0.83124,0.84372,0.84376,0.85002,0.84376,0.85,0.85624,0.8499800000000001,0.84372,0.8375199999999999,0.8625,0.85624,0.875,0.8687400000000001
ppv,0.7825,0.79716,0.81454,0.8060600000000001,0.8215600000000001,0.80824,0.82416,0.82114,0.8193999999999999,0.8161799999999999,0.80458,0.8299200000000001,0.82166,0.8397,0.83644
npv,0.8138799999999999,0.7953,0.8196199999999999,0.7680999999999999,0.81436,0.8109999999999999,0.83856,0.80298,0.81974,0.82196,0.77802,0.81694,0.8153400000000002,0.81268,0.80106
gmean_sens_spec,0.79654,0.7903800000000001,0.8109999999999999,0.76722,0.8100799999999999,0.80352,0.82478,0.80198,0.81486,0.81014,0.7713399999999999,0.81172,0.80908,0.8144600000000001,0.80318
gmean_all_metrics,0.79716,0.7931199999999999,0.8137399999999999,0.77628,0.8137800000000001,0.8064199999999999,0.8276800000000002,0.8066599999999999,0.8170999999999999,0.81412,0.7803,0.81708,0.8134199999999998,0.8199799999999999,0.81028
roc_auc,0.86032,0.8681000000000001,0.87618,0.8558999999999999,0.88018,0.8823000000000001,0.8961,0.87994,0.88852,0.88818,0.77708,0.8699199999999999,0.8759399999999999,0.88216,0.8865999999999999
accuracy,0.7983,0.7948000000000001,0.81502,0.77798,0.8150999999999999,0.8083600000000001,0.82866,0.80844,0.8186200000000001,0.81508,0.7814400000000001,0.8184799999999999,0.8151400000000001,0.8219200000000001,0.8116999999999999
sensitivity,0.78148,0.7963,0.77462,0.73044,0.7523799999999999,0.7524,0.72302,0.73044,0.7669400000000001,0.78148,0.73044,0.74444,0.73702,0.7515799999999999,0.75184
specificity,0.78124,0.8375,0.84372,0.7875,0.84376,0.86252,0.8499800000000001,0.8625,0.79998,0.8375,0.78752,0.8312200000000001,0.83124,0.83124,0.83124
ppv,0.76302,0.81572,0.8117599999999999,0.7494000000000001,0.8188000000000001,0.83862,0.8168600000000001,0.83414,0.7737999999999999,0.81518,0.7473799999999999,0.80148,0.7945599999999999,0.80076,0.8000399999999999
npv,0.8032,0.82812,0.8179399999999999,0.77428,0.79552,0.8006800000000001,0.78138,0.78682,0.7999,0.8150999999999999,0.77514,0.79334,0.7875200000000001,0.7974600000000001,0.79762
gmean_sens_spec,0.7804800000000001,0.81508,0.8064399999999999,0.75692,0.7956799999999999,0.80414,0.7820400000000001,0.79232,0.78178,0.8078,0.75708,0.7835799999999999,0.78126,0.78824,0.7885
gmean_all_metrics,0.78142,0.8181,0.8103,0.7592,0.80098,0.8112199999999999,0.78998,0.8006800000000001,0.78398,0.8111200000000001,0.759,0.78996,0.78592,0.7932600000000001,0.7932600000000001
roc_auc,0.8832800000000001,0.8814399999999999,0.87252,0.8577199999999999,0.88034,0.86866,0.87768,0.87514,0.8652200000000001,0.8888199999999999,0.75896,0.8724999999999999,0.88264,0.88018,0.88468
accuracy,0.7816599999999999,0.8187599999999999,0.81188,0.76144,0.80198,0.81206,0.79176,0.80192,0.78498,0.8119799999999999,0.76136,0.7916000000000001,0.7881400000000001,0.79492,0.79498
sensitivity,0.8034399999999999,0.79576,0.8042400000000001,0.7889,0.8254199999999999,0.7820199999999999,0.7820199999999999,0.8108599999999999,0.74418,0.8396800000000001,0.7889,0.79604,0.80372,0.80372,0.8113800000000001
specificity,0.80626,0.80002,0.8125,0.84376,0.86248,0.84374,0.84374,0.85,0.8125,0.8562200000000001,0.8375,0.82498,0.825,0.84374,0.85624
ppv,0.78142,0.7825200000000001,0.7855,0.8192600000000001,0.8389,0.8147399999999999,0.81152,0.82882,0.7805,0.83848,0.81096,0.79906,0.80066,0.81922,0.8312000000000002
