,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
3,0.6619429290294647,0.34796303510665894,0.3716777563095093,0.28264325857162476,0.5039852157751787,0.47516106312039497,0.4245613219732214,0.5381888250685327,0.36718761920928955,0.441479002684875,0.010289132595062256,0.28264325857162476,0.2584714195230118,0.2826223413298805,0.31604459341530267
6,0.02270478755235672,0.8426083922386169,0.02804257720708847,0.6843641400337219,0.3621558983915422,0.6302713709016533,0.700186823073015,0.6315390128613751,0.22150848805904388,0.45815349892426815,0.9897108674049377,0.22150848805904388,0.6064539665305023,0.6910856036020803,0.6758620863475377
7,0.14449143409729004,0.04200941324234009,0.0322723388671875,0.046478450298309326,0.39591547526902393,0.2438841942718103,0.36778446964078393,0.4112312807759575,0.1542501449584961,0.20425746682457765,0.010289132595062256,0.1542501449584961,0.059110824228150616,0.05322076377709284,0.15419486810843086
10,0.5978089570999146,0.7020134925842285,0.97261424921453,0.3618195056915283,0.6349671770552205,0.5396146184480661,0.7523637426769326,0.46079870320933547,0.7200515568256378,0.6380057780894882,0.010289132595062256,0.3618195056915283,0.5137083558867549,0.44692232450504454,0.4591035014654471
11,0.20185154676437378,0.5158848464488983,0.36018073558807373,0.9893034622073174,0.4323784578092311,0.3548898998878529,0.37554888015057164,0.7164863074941612,0.0850641131401062,0.4479542499433985,0.99044578243047,0.0850641131401062,0.17352043679829587,0.18783673729945394,0.2952520336623442
15,0.010079318657517433,0.021673403680324554,0.02619648352265358,0.00917412992566824,0.09911513162923807,0.08471795135710003,0.08116125434522325,0.271149258048996,0.04890984296798706,0.07246408601496758,0.00955421756953001,0.04890984296798706,0.032688787378087183,0.024274985346187276,0.13028598591387455
17,0.6697415709495544,0.8373099565505981,0.17690515518188477,0.1988425999879837,0.47169385107715966,0.5284876017940088,0.4320391296959585,0.4956606087922071,0.7696412801742554,0.5089246393559567,0.00955421756953001,0.7696412801742554,0.5772651521272172,0.551930363966944,0.5056695843097346
18,0.014615952968597412,0.2920011281967163,0.18853795528411865,0.014720916748046875,0.2650935832192465,0.3688367248241188,0.2973383191636201,0.5170965160773502,0.031966328620910645,0.22113415834474728,0.010289132595062256,0.031966328620910645,0.018392774108498933,0.09161528817813991,0.1964767943310799
20,0.6262838244438171,0.231113001704216,0.9799063801765442,0.8573449850082397,0.6760624098638948,0.6025530281615094,0.6699123861077182,0.6227556569222975,0.6189211010932922,0.6538725303868366,0.9897108674049377,0.6189211010932922,0.759453694596067,0.7233472045643581,0.7108877592452247
22,0.01231396198272705,0.11880680173635483,0.01763978600502014,0.01953338459134102,0.11119428528543657,0.2930010287414392,0.14232157058274353,0.19589429857584023,0.0037840409204363823,0.10160990649125987,0.00955421756953001,0.0037840409204363823,0.017030257769514338,0.12363481665959276,0.17398796919203982
27,0.06830006837844849,0.10152705758810043,0.05130194127559662,0.5921601057052612,0.25652660826594553,0.18169960995716344,0.16914250335227274,0.2193442717987579,0.12028731405735016,0.19558772004209962,0.9897108674049377,0.1593373715877533,0.1650677721355183,0.2287067180811465,0.21437508906663563
30,0.002507150173187256,0.0011602543527260423,0.001940443180501461,0.01913580298423767,0.09563476258597482,0.08315593259893733,0.14800699096259068,0.17726807603951833,0.010905737057328224,0.059968349992777975,0.00955421756953001,0.008514241315424442,0.012713225175640708,0.043714112009971044,0.0824834706655898
36,0.006929827854037285,0.008189334534108639,0.002177613787353039,0.16473793983459473,0.05892478256032214,0.043688717622589704,0.04667536760444928,0.29164295787794847,0.005359227769076824,0.06981397438272002,0.00955421756953001,0.005359227769076824,0.011559703257746965,0.04061330342986014,0.08692345785527134
37,0.13021589815616608,0.021594645455479622,0.003899902105331421,0.013115177862346172,0.3019224461912344,0.36531272029541834,0.30571925041842724,0.2717165600446031,0.8274146914482117,0.24899014355302423,0.00955421756953001,0.006140073295682669,0.2715180089966059,0.17361833311406968,0.2796445613691802
38,0.0017917960649356246,0.05558847635984421,0.0028635903727263212,0.004388336557894945,0.09716347422285171,0.12893399987957244,0.10369488660232315,0.13087794134049824,0.050451576709747314,0.06397267534559932,0.00955421756953001,0.050451576709747314,0.018489564554629283,0.06520574160238003,0.06642265479181726
45,0.9595713280141354,0.7930054366588593,0.978027805685997,0.8157916218042374,0.7810421337990877,0.7171818097931592,0.8389689735173224,0.5250791923043389,0.9074340313673019,0.8129002592160487,0.99044578243047,0.9074340313673019,0.8900357507807517,0.8927658104240275,0.7853854266455479
49,0.007891200482845306,0.001194389769807458,0.002352293813601136,0.0026010035071521997,0.08602043083119681,0.08570000559175708,0.09057832916436455,0.11235349581083315,0.0076061575673520565,0.044033034059878864,0.00955421756953001,0.0076061575673520565,0.03636914246925582,0.0680278469723651,0.054185417370135804
52,0.1263635754585266,0.4387783408164978,0.8068490624427795,0.17075985670089722,0.31129478708093816,0.45749111904848605,0.5357031465664107,0.4418123696038567,0.3134891390800476,0.400282377422049,0.010289132595062256,0.019754230976104736,0.0719207581328778,0.10827848490794778,0.23993781865455788
56,0.11306386440992355,0.14432477951049805,0.013398394919931889,0.18967501819133759,0.2987891811509046,0.42686404521717086,0.18180429301232948,0.4334788714629131,0.08595532178878784,0.20970597440708852,0.00955421756953001,0.08595532178878784,0.09703093350781178,0.178033332732293,0.1740611919027158
63,0.17287907004356384,0.05918503180146217,0.00788214523345232,0.021732235327363014,0.3966792965601184,0.37019286976527427,0.10361024001770515,0.3831267290590245,0.035264793783426285,0.17228360128793224,0.00955421756953001,0.035264793783426285,0.06747346516211065,0.19527377088736142,0.1969538925192439
67,0.00998693611472845,0.013335012830793858,0.006170190405100584,0.005269310902804136,0.09505135048057603,0.07573622405512964,0.03590331290476299,0.11169619544609205,0.010648556984961033,0.040421898902772084,0.00955421756953001,0.010648556984961033,0.11115926282030947,0.0919857601486208,0.078735694884709
70,0.0021168654784560204,0.059141434729099274,0.003101038048043847,0.09626404196023941,0.09012304147092542,0.049245248126532346,0.04586015271264645,0.1422921786479404,0.003211595816537738,0.05459506633226899,0.00955421756953001,0.003749789437279105,0.06145706545304939,0.06090208431870449,0.07326014247563284
71,0.0033702831715345383,0.016955463215708733,0.006306076422333717,0.024592667818069458,0.12519509794163494,0.09936513459931624,0.027110152712646447,0.13853010543447514,0.005573164205998182,0.04966646061352416,0.00955421756953001,0.005573164205998182,0.0064021327539320275,0.011915448818481566,0.06124594729933419
74,0.059282779693603516,0.546380877494812,0.022523701190948486,0.719102293252945,0.19001391142466217,0.2873234948284298,0.18079612251089028,0.6062363177452739,0.24166947603225708,0.3170365526859802,0.99044578243047,0.01874232292175293,0.266814618369,0.3276669519608545,0.2779557550043755
79,0.7806566953659058,0.9292163848876953,0.1710256189107895,0.7634655237197876,0.5769104200823006,0.759586668721239,0.6049702770286228,0.5620454103461653,0.46720054745674133,0.6238975051688053,0.9897108674049377,0.8864472508430481,0.8854677223116127,0.7827597786124577,0.7182212966226083
80,0.24157994985580444,0.3829307556152344,0.28491008281707764,0.6521440148353577,0.2799773239047664,0.2582389849586414,0.3451848655076546,0.39145497777794713,0.9275436475872993,0.4182182892066425,0.99044578243047,0.12641711481615336,0.13442066527701568,0.15680126262175642,0.27518700579744937
88,0.23392169177532196,0.06678980588912964,0.080442875623703,0.01672711968421936,0.43702380625232207,0.270661896354423,0.27280677619280985,0.30595467465736315,0.20297519862651825,0.20970042722842339,0.00955421756953001,0.20297519862651825,0.09191924827102523,0.2643324688372145,0.29206605379483574
92,0.44424211978912354,0.4309653639793396,0.9662866592407227,0.9145089983940125,0.49868659325401216,0.6077078591112769,0.7668714379987754,0.6009004666716984,0.956017255783081,0.6873540838024491,0.9897108674049377,0.962701678276062,0.9722855651814465,0.9199014370972255,0.8359261495643561
102,0.12556421756744385,0.007557041477411985,0.042729560285806656,0.5654289126396179,0.16138447066344827,0.09524748396550456,0.1254393649566026,0.3821421381424668,0.03392750397324562,0.17104674374128315,0.9897108674049377,0.03392750397324562,0.0725156039277135,0.1577785130473066,0.20984299366319106
107,0.23155659437179565,0.11255096644163132,0.370213121175766,0.13205459713935852,0.2089937204533658,0.41554884620560806,0.22725634457143204,0.3862709671844174,0.5126581788063049,0.28856703737218664,0.00955421756953001,0.13205459713935852,0.3557673786747553,0.2851134179236722,0.3124419413247489
108,0.04433763772249222,0.3706340491771698,0.31839489936828613,0.02275967411696911,0.40209333205894654,0.6717341012647502,0.4482860834398669,0.2341201192624327,0.6313361525535583,0.3492995609960524,0.00955421756953001,0.21385256946086884,0.2805842840334767,0.2572803296784329,0.3263840423725076
132,0.016772398725152016,0.00839927326887846,0.029866022989153862,0.01360736321657896,0.11150640240419003,0.14014811258030588,0.1410444372109509,0.21914022109188735,0.05255400389432907,0.08144869282015849,0.00955421756953001,0.05255400389432907,0.07585923364503569,0.12392461261615129,0.0969607417394414
133,0.9973949582781643,0.9978401202242821,0.998015238204971,0.9927811888046563,0.9090939056543225,0.916997914634912,0.8796297920622342,0.8963148824220046,0.9794492516666651,0.9519463613280236,0.99044578243047,0.9794492516666651,0.9645328868921759,0.9377714501259795,0.9496956741262823
143,0.7693637609481812,0.2640748918056488,0.8331501483917236,0.021648334339261055,0.39905208142612936,0.34111458668108413,0.31232700975935945,0.28369927762420155,0.16491365432739258,0.37659374947810903,0.00955421756953001,0.5430363416671753,0.3406481161217888,0.2226781433198117,0.24240079157241068
153,0.399140864610672,0.021512307226657867,0.742013156414032,0.5015722513198853,0.3927495548083485,0.3245973816638791,0.6071445568436229,0.5387833492388957,0.7161455750465393,0.47151766635250364,0.9897108674049377,0.7161455750465393,0.6736030352189375,0.5901074997611164,0.550658416310248
156,0.534372091293335,0.003336049150675535,0.44193193316459656,0.951486349105835,0.6254985719434898,0.28823366581177284,0.6300416121807312,0.6128793560650226,0.897756814956665,0.553948493741347,0.9897108674049377,0.897756814956665,0.8759454135451783,0.9080696696982933,0.7258934666056482
164,0.02029174566268921,0.2245098352432251,0.14685046672821045,0.2069881558418274,0.2197976657862598,0.3072291000933146,0.196414506986067,0.3209379900884365,0.4177757501602173,0.22897724628780525,0.010289132595062256,0.10203042276986896,0.11004071525736014,0.14718948254925523,0.13523172604308553
167,0.023755669593811035,0.04055136442184448,0.15749263763427734,0.009112954139709473,0.23641985879738148,0.24673827979192264,0.2954003491926387,0.22242939760587432,0.05130285024642944,0.142578151269321,0.010289132595062256,0.05130285024642944,0.025560868535092318,0.09653522175019369,0.10741747002824154
169,0.47106754779815674,0.27335143089294434,0.47847530245780945,0.6475216746330261,0.43998400047536457,0.46531917847228366,0.3492617551246067,0.5281430125079597,0.19084826111793518,0.42710801816445404,0.9897108674049377,0.4727742671966553,0.44249952450762775,0.524658113457417,0.5417697679305615
172,0.7053560614585876,0.393209844827652,0.4632367491722107,0.8973684906959534,0.6824490902966379,0.27330513920599747,0.7764672418693661,0.585036347007673,0.4210648834705353,0.5774993164449571,0.9897108674049377,0.9952778816223145,0.688298599442297,0.693978607687037,0.6894166232138582
174,0.002673506736755371,0.0015815496444702148,0.0027715563774108887,0.0016903877258300781,0.062473746504294936,0.07610564677521992,0.14911444330683932,0.09697035491988515,0.0037984251976013184,0.044131068576478576,0.010289132595062256,0.0009475350379943848,0.02899062991877277,0.02904322242839874,0.030198421049955182
183,0.012350976467132568,0.007967352867126465,0.013049185276031494,0.0027550458908081055,0.14468224225334214,0.16372507057226404,0.08963789914076292,0.14017674560374782,0.0019255876541137695,0.06403001174725881,0.010289132595062256,0.0005931854248046875,0.002166701257127035,0.02588630575170292,0.055957153031416684
189,0.4830911159515381,0.5954391956329346,0.7291831374168396,0.6956939697265625,0.39497923310788574,0.4116282872026157,0.5613351195399581,0.39220311718125256,0.6640002131462097,0.547505932100644,0.99044578243047,0.6640002131462097,0.6117207797258677,0.6075139171635613,0.5831747756787641
195,0.21574252843856812,0.7757101058959961,0.8900355026125908,0.7695901691913605,0.7554553819660447,0.7301469532719984,0.7728721804739899,0.6863070701793188,0.77704057097435,0.708100051444913,0.99044578243047,0.8794026523828506,0.7783881453365724,0.7526463114779678,0.7350238914679589
198,0.0004177689552307129,0.0016009211540222168,0.00023978948593139648,0.0047155022621154785,0.046832978104909606,0.062481897764374184,0.04872951193972863,0.07256333305945661,0.00039643049240112305,0.026442014802018885,0.010289132595062256,0.00039643049240112305,0.001121681548038822,0.0017762800314415905,0.02601768631835988
199,0.0010096430778503418,0.0027062296867370605,0.00034999847412109375,0.0031078457832336426,0.0240322546628029,0.04588713073656581,0.049787881617293306,0.08965235224193646,0.0010700821876525879,0.024178157607577022,0.010289132595062256,0.0015718936920166016,0.0014830328930897085,0.006352512314716563,0.0216269716470342
203,0.20649737119674683,0.03168374300003052,0.023032784461975098,0.004589259624481201,0.5138217683155899,0.3362516780870678,0.5002778360365931,0.22748954475703131,0.12182801961898804,0.2183857783442782,0.010289132595062256,0.12182801961898804,0.06906241215687214,0.0466098928848534,0.11832091919640464
216,0.0025626420974731445,0.006301939487457275,0.0002868771553039551,0.009889185428619385,0.1035458726352445,0.07897807488014141,0.0485008255933953,0.14447608025721403,0.021077394485473633,0.04617987689114696,0.010289132595062256,0.0016309618949890137,0.0016518955809396996,0.017645738658758292,0.040966672182322084
228,0.00345689058303833,0.17754358053207397,0.006224870681762695,0.022198855876922607,0.0568764000989066,0.1358244835940543,0.18430221504196853,0.21172357431051547,0.0025946497917175293,0.08897172450121778,0.010289132595062256,0.0025946497917175293,0.009350201457615448,0.06195587717314244,0.09010398890826177
230,0.00782763957977295,0.6370446681976318,0.06551849842071533,0.0039904117584228516,0.055131252941212905,0.4889152525756314,0.20225738684260364,0.13725280386221883,0.045219480991363525,0.18257304390773033,0.010289132595062256,0.045219480991363525,0.01972659807907673,0.036497058454251774,0.1201576882060561
232,0.2720889151096344,0.17227870225906372,0.054350391030311584,0.4098496735095978,0.32318625282600044,0.3052675448468565,0.23220257352681434,0.31444480800889135,0.16916395723819733,0.2503147575950408,0.00955421756953001,0.16916395723819733,0.20939776564892842,0.3041415777874235,0.33069366176587367
243,0.03878366947174072,0.05055874586105347,0.03335380554199219,0.44795680046081543,0.20382072292615827,0.23091495091833314,0.2820354847410387,0.32685631036534213,0.10156458616256714,0.19064945293878235,0.010289132595062256,0.004541873931884766,0.15252928182154546,0.1367441963805509,0.17998661908253188
250,0.010797202587127686,0.002945542335510254,0.009421050548553467,0.023818016052246094,0.13968523218512363,0.14736732807075892,0.20107973240370736,0.15465838272656496,0.011523842811584473,0.07792181441346409,0.010289132595062256,0.018379926681518555,0.030208734450333785,0.07387302277402685,0.061348995583580423
256,0.9897909760475159,0.9881503582000732,0.9739199280738831,0.9973969459533691,0.7224857436027938,0.8193560287445054,0.6998667979371709,0.7697745959919454,0.954247236251831,0.879443178978121,0.9897108674049377,0.954247236251831,0.9823669431188562,0.9885174653207252,0.8998978303471318
259,0.19549542665481567,0.8959783464670181,0.9764913190156221,0.09950876235961914,0.4224527337220668,0.6479762070962372,0.6727752253010962,0.2907918400184343,0.08865678310394287,0.47668073819320583,0.010289132595062256,0.08865678310394287,0.4856396659771437,0.4058983357297341,0.4175016315639688
267,0.004403412342071533,0.013212323188781738,0.03202009201049805,0.02360600233078003,0.130614791125664,0.1919034796105601,0.15726206041120916,0.24508079869544463,0.050280630588531494,0.09426484336706008,0.010289132595062256,0.050280630588531494,0.027752886953702705,0.07405101354489985,0.07832352705638945
269,0.019766628742218018,0.05258369445800781,0.011248886585235596,0.014478862285614014,0.46431339522537396,0.24240697669364808,0.2035966609108837,0.31006699119770575,0.2445051670074463,0.1736630292340148,0.010289132595062256,0.0014086365699768066,0.08972755129272092,0.12113975358113294,0.13796927960016236
284,0.004640826024115086,0.01263914629817009,0.0056014214642345905,0.0042580245062708855,0.055316692264576216,0.04145392647933175,0.03865833974067218,0.14651832867930492,0.0033287073019891977,0.034712823639851655,0.00955421756953001,0.005875194910913706,0.04806941622626909,0.05630711080521203,0.0639118932712391
287,0.029823031276464462,0.062229838222265244,0.03558790683746338,0.04248497262597084,0.34618167383135706,0.30084640383465244,0.4324428178475474,0.2949222598168064,0.12742939591407776,0.18577203335628945,0.00955421756953001,0.12742939591407776,0.1857483539777461,0.1507743482369456,0.22552617875022496
294,0.44493281841278076,0.07697421312332153,0.29625213146209717,0.4002414345741272,0.33903521407161663,0.16254242596553992,0.3533036523319619,0.5030901342051606,0.40756696462631226,0.3315487765303242,0.010289132595062256,0.40756696462631226,0.23747647370455593,0.29209390814216285,0.27857102273711576
4,0.4419787526130676,0.6729761958122253,0.44662410020828247,0.1977122724056244,0.4069727241519228,0.5270000363111402,0.32726667028447076,0.43179090360759753,0.4260055422782898,0.43092524418584677,0.00917135551571846,0.8746103048324585,0.6393819026339731,0.5998626542385059,0.5479778564933616
9,0.7328136563301086,0.8981956243515015,0.87851482629776,0.9619864225387573,0.686397584022194,0.5489455489230011,0.5657780384858726,0.7276181539856903,0.7222715020179749,0.7469468174392067,0.9892473816871643,0.8033879399299622,0.7940130268745595,0.8013977438908477,0.7853070398520952
12,0.9705853872001171,0.7239482402801514,0.3566684126853943,0.5679404139518738,0.6488450392277016,0.5360610548936822,0.6156304834363644,0.594316721316656,0.9182041361927986,0.6591333210205267,0.9908286444842815,0.9182041361927986,0.5443989565612625,0.5369027781601561,0.5713315311044603
31,0.9565981924533844,0.8579140156507492,0.992720143403858,0.9209878966212273,0.7903471205088171,0.587130854638908,0.7401758994152002,0.7277273227598733,0.9428846575319767,0.8351651225537771,0.9908286444842815,0.6245010101899552,0.7017000448397177,0.754989738106971,0.8198412786235723
32,0.9622520618140697,0.9545264393091202,0.9099355787038803,0.3887319564819336,0.7996181436512262,0.7408544570312564,0.7078402739078002,0.5727075797865107,0.845575600862503,0.7646713435053667,0.010752618312835693,0.3089931607246399,0.6118994763052548,0.535300571128804,0.5501877996516886
35,0.8046824634075165,0.982071727514267,0.899586446583271,0.980786656960845,0.8435358827545189,0.8499813361147438,0.7528040267765935,0.8040838488074105,0.9562128894031048,0.8748605864802523,0.9908286444842815,0.8558315634727478,0.896562115251629,0.8596195005843663,0.8498554991547926
41,0.04173075407743454,0.026986677199602127,0.023110510781407356,0.010285601951181889,0.11630023213292423,0.05666657297721775,0.12240498520650984,0.1064740097652606,0.016949597746133804,0.0578787713152969,0.00917135551571846,0.02123510278761387,0.04787113338846942,0.05439701823300187,0.05536121749600255
47,0.004723237827420235,0.02037932351231575,0.022372737526893616,0.003878733143210411,0.11834956326557453,0.12555487462762463,0.13780993129840788,0.11825483475688824,0.01243270467966795,0.06263954895977814,0.00917135551571846,0.01243270467966795,0.011770362926542929,0.0472497242193873,0.051128394593049215
51,0.009653680957853794,0.9134315252304077,0.033996518701314926,0.016955599188804626,0.13895953066759123,0.650473562111047,0.20803138429836615,0.24185310562182122,0.37295612692832947,0.28736789263394846,0.00917135551571846,0.14416633546352386,0.22114408937766344,0.23332311125275995,0.3058177979393561
53,0.0036076135002076626,0.006149572320282459,0.07550618052482605,0.01563817262649536,0.11066464881396801,0.06093913361090304,0.14131770818127115,0.10608401181901835,0.07693580538034439,0.06631587186414628,0.00917135551571846,0.03156379237771034,0.058871655527647254,0.06048583714846878,0.07154942708086241
61,0.0032556820660829544,0.12171556055545807,0.03169301524758339,0.02667342498898506,0.08096857472014157,0.08859459236048052,0.11079951986944689,0.07362567472407433,0.0029168925248086452,0.06002699300634015,0.00917135551571846,0.0029168925248086452,0.04969303015828984,0.07884190841453168,0.06539131374244317
76,0.7918477803468704,0.8197048604488373,0.9065657928586006,0.7328770160675049,0.5355021464899888,0.5671281780878757,0.531166944901516,0.44230601756616383,0.9850932154804468,0.7013546613608672,0.9908286444842815,0.9850932154804468,0.8449805590738406,0.8101128476776976,0.6668043179037527
78,0.9974995255470276,0.833503782749176,0.9581067562103271,0.984838604927063,0.7695673943976411,0.6786874765083436,0.5759048650300156,0.828253206453152,0.8695768713951111,0.8328820536908731,0.9892473816871643,0.9600229859352112,0.9735215548823144,0.9007874678788335,0.8675684068232394
82,0.18723858892917633,0.03210584074258804,0.031151708215475082,0.05748892202973366,0.14026782242985134,0.18320949820816598,0.23580728656247157,0.19735037312430645,0.1543719619512558,0.13544355579922493,0.00917135551571846,0.15976287424564362,0.13717576128664252,0.14082109980038188,0.157376855316594
86,0.0721747875213623,0.20165032148361206,0.24055606126785278,0.3230815529823303,0.20878164937312926,0.2584834046205363,0.2999004592536063,0.32429814158496617,0.5853663682937622,0.2793658607090175,0.010752618312835693,0.07769542932510376,0.28935564670603187,0.2553907424745351,0.26439208951716253
91,0.8470854759216309,0.8537522405385971,0.9374929741024971,0.6488004326820374,0.30323474630896774,0.4443698922873369,0.5905440499193506,0.29893895735544485,0.9676230885088444,0.6546490952916341,0.9908286444842815,0.6157126128673553,0.570899297083652,0.4690068597614606,0.4973276319451525
99,0.9789367914199829,0.9835923910140991,0.9986209869384766,0.27048400044441223,0.8132268966893155,0.824631357173672,0.8695631414626839,0.41284662851912574,0.951073408126831,0.7892195113098442,0.00917135551571846,0.951073408126831,0.7353015991006073,0.6977532287410233,0.791006163496155
