,Estim(XGBRegressor)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBRegressor)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBRegressor)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBRegressor)_Imputer(KNNImputer),Estim(RandomForestRegressor)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestRegressor)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestRegressor)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestRegressor)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingRegressor'>,dew_top_1,dew_top_3,dew_top_None
Student_por_G2_MAR,2.1927,2.1137,2.1926,2.1345,2.064,1.995,2.0665,2.011,1.9619,2.2962,2.0927,2.0285,1.9722
Student_por_G2_MNAR,2.2333,2.2057,2.2044,2.2037,2.034,2.0284,1.9736,1.9931,1.9768,2.3783,2.0722,1.9908,1.9688
Student_por_G2_MCAR,2.1508,2.2136,2.2223,2.2824,1.9802,2.0476,2.0384,1.9863,2.0008,2.3516,2.0865,2.0113,1.9955
Student_por_G3_MAR,2.3486,2.3332,2.3337,2.3045,2.1109,2.1701,2.1449,2.0924,2.0933,2.3715,2.2153,2.1028,2.0867
Student_por_G3_MNAR,2.3956,2.2969,2.2629,2.3008,2.2263,2.1556,2.1707,2.139,2.0609,2.4031,2.2677,2.1227,2.0756
Student_por_G3_MCAR,2.3688,2.2977,2.3061,2.2157,2.174,2.1645,2.1174,2.1023,2.0547,2.4364,2.2596,2.0998,2.0576
Student_mat_G1_MNAR,2.7465,2.7486,2.8009,2.7808,2.6915,2.6037,2.6328,2.6695,2.5955,2.8596,2.6753,2.6008,2.5912
Student_mat_G1_MAR,2.7844,2.7609,2.8114,2.7389,2.6257,2.6134,2.6276,2.6055,2.5735,2.8777,2.6382,2.6016,2.5688
Student_mat_G1_MCAR,2.7192,2.7631,2.8205,2.8125,2.6546,2.671,2.6783,2.6435,2.5843,3.0909,2.6971,2.6487,2.5962
Student_por_G1_MCAR,2.1231,2.0613,2.0841,2.08,1.9361,1.9538,1.9604,1.9637,1.9017,2.1109,2.0,1.9457,1.9071
Student_por_G1_MAR,1.9625,1.9756,1.9532,1.9437,1.843,1.8632,1.8801,1.872,1.8099,2.1854,1.9254,1.8228,1.8048
Student_por_G1_MNAR,2.1503,2.0247,2.1356,2.1304,1.947,1.8792,1.9037,1.9261,1.9052,2.1569,1.9675,1.9065,1.8995
Student_mat_G2_MNAR,3.0762,3.0424,2.8882,3.0816,2.8545,2.7543,2.7925,2.8001,2.7462,3.2862,2.8443,2.7843,2.7315
Student_mat_G2_MAR,3.2855,3.2803,3.1194,3.0378,2.86,2.872,2.8484,2.8211,2.8464,3.287,2.9901,2.886,2.8537
Student_mat_G2_MCAR,3.1052,3.1688,3.2885,3.0932,2.8266,2.8904,2.8147,2.8772,2.8476,3.3801,2.9976,2.8882,2.8536
Student_mat_G3_MAR,3.5786,3.5824,3.464,3.5742,3.3223,3.2735,3.2613,3.3184,3.2644,3.6802,3.317,3.2624,3.2572
Student_mat_G3_MNAR,3.4697,3.4075,3.4913,3.3715,3.3152,3.2586,3.2325,3.2315,3.1699,3.9504,3.3048,3.1853,3.1784
Student_mat_G3_MCAR,3.6044,3.7553,3.8406,3.8298,3.3742,3.3981,3.4033,3.4302,3.4088,3.9164,3.4908,3.4102,3.4093
