,Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingRegressor'>,dew_top_1,dew_top_3,dew_top_None
Student_por_G2_MAR,1.9619,2.2962,2.0927,2.0285,1.9722
Student_por_G2_MNAR,1.9768,2.3783,2.0722,1.9908,1.9688
Student_por_G2_MCAR,2.0008,2.3516,2.0865,2.0113,1.9955
Student_por_G3_MAR,2.0933,2.3715,2.2153,2.1028,2.0867
Student_por_G3_MNAR,2.0609,2.4031,2.2677,2.1227,2.0756
Student_por_G3_MCAR,2.0547,2.4364,2.2596,2.0998,2.0576
Student_mat_G1_MNAR,2.5955,2.8596,2.6753,2.6008,2.5912
Student_mat_G1_MAR,2.5735,2.8777,2.6382,2.6016,2.5688
Student_mat_G1_MCAR,2.5843,3.0909,2.6971,2.6487,2.5962
Student_por_G1_MCAR,1.9017,2.1109,2.0,1.9457,1.9071
Student_por_G1_MAR,1.8099,2.1854,1.9254,1.8228,1.8048
Student_por_G1_MNAR,1.9052,2.1569,1.9675,1.9065,1.8995
Student_mat_G2_MNAR,2.7462,3.2862,2.8443,2.7843,2.7315
Student_mat_G2_MAR,2.8464,3.287,2.9901,2.886,2.8537
Student_mat_G2_MCAR,2.8476,3.3801,2.9976,2.8882,2.8536
Student_mat_G3_MAR,3.2644,3.6802,3.317,3.2624,3.2572
Student_mat_G3_MNAR,3.1699,3.9504,3.3048,3.1853,3.1784
Student_mat_G3_MCAR,3.4088,3.9164,3.4908,3.4102,3.4093
