,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>
1,0.4281306564807892,0.5753702521324158,0.8537667989730835,0.29419323801994324,0.42099465471924175,0.4557226297227337,0.4735727575992082,0.41398681601765114,0.2556089162826538,0.4634829688830801,0.1421884000301361
7,0.6863051652908325,0.788164496421814,0.6437764763832092,0.28057757019996643,0.301354022525649,0.3600350761854947,0.3647705212010891,0.35657935496926707,0.6418423056602478,0.4914894432041744,0.14084100723266602
9,0.32428741455078125,0.055808305740356445,0.04605305194854736,0.012810885906219482,0.22710285186450974,0.2459719531473995,0.20362569227928207,0.17763992033887066,0.06936728954315186,0.15140748503545756,0.006975412368774414
11,0.8378788828849792,0.5396597385406494,0.9120049476623535,0.6064600944519043,0.46805655741575414,0.4672285734717583,0.5262597142688112,0.48747300695008344,0.4178406894207001,0.584762467229666,0.2802447974681854
13,0.08450394868850708,0.04137873649597168,0.009072542190551758,0.09035331010818481,0.4583168942611594,0.44377991763495395,0.4478459874084273,0.4758534781679685,0.22041618824005127,0.2523912225773084,0.07443350553512573
16,0.006863594055175781,0.0025156736373901367,0.0008355379104614258,0.004654347896575928,0.08434732981774218,0.08415714967791654,0.1031423633154227,0.05917798067521385,0.017998218536376953,0.0404102439469195,0.010573983192443848
20,0.35174843668937683,0.41501161456108093,0.4913066029548645,0.3383040726184845,0.4042537954838556,0.4187361630286474,0.4286255694125085,0.44251707236513604,0.6637666821479797,0.43936333436243713,0.7710921764373779
22,0.5205238461494446,0.37410444021224976,0.5566718280315399,0.13836294412612915,0.5141364891186571,0.4136207406853756,0.44196515207770737,0.3801083612855739,0.4579930901527405,0.42194298798215757,0.23824989795684814
25,0.024981260299682617,0.025132417678833008,0.014406979084014893,0.017360568046569824,0.11787288118641148,0.14728151181264304,0.15868716391908222,0.14178444721384864,0.07395511865615845,0.0801624830996938,0.010573983192443848
27,0.0022557973861694336,0.002890288829803467,0.0009449124336242676,0.00213015079498291,0.13449061936019546,0.06365513514116317,0.06637738485524924,0.07080154385505866,0.0035314559936523438,0.0385641431833221,0.010573983192443848
