,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>
1,0.6116641163825989,0.541052520275116,0.7681599855422974,0.6941078305244446,0.47790767208880625,0.49643284783449415,0.467359417799188,0.44659906946027,0.5680839419364929,0.5634852668715231,0.8961906433105469
7,0.6922101378440857,0.37622037529945374,0.20686274766921997,0.06606313586235046,0.3587531285135664,0.3733273773595363,0.3399890664299909,0.2863348181389282,0.24431917071342468,0.3271199953145063,0.07365355640649796
9,0.02895718812942505,0.03222411870956421,0.09901881217956543,0.15720504522323608,0.3020537746910883,0.19341798500698548,0.17489724797496609,0.3242927406547961,0.0627933144569397,0.15276224744739628,0.07981306314468384
11,0.8817630410194397,0.9370370507240295,0.7241865992546082,0.8953967094421387,0.5522102999212242,0.5368059296512804,0.5938482123143273,0.6319925362013737,0.6571086049079895,0.7122609981596013,0.8572561740875244
13,0.045598626136779785,0.1823427677154541,0.12854677438735962,0.14793390035629272,0.4818494831608595,0.47778667232129746,0.4942872106935714,0.44598608584928856,0.11245840787887573,0.27964332538886433,0.13138306140899658
16,0.0009278059005737305,0.0022363662719726562,0.001960933208465576,0.017751991748809814,0.019208727931970815,0.07109754662748513,0.10146969607162215,0.11957344461349317,0.0023946762084960938,0.03740235428698768,0.08515322208404541
20,0.1761050671339035,0.33637532591819763,0.5833793878555298,0.7212779521942139,0.4349544895395656,0.4374763111033472,0.41799544420656864,0.4270411090617896,0.6749992370605469,0.4677338137859625,0.8683871626853943
22,0.3166993260383606,0.43224287033081055,0.19726485013961792,0.13665002584457397,0.42570321127475896,0.4443518632008432,0.4389098898664803,0.38139581078724705,0.07000714540481567,0.315913888098612,0.09639984369277954
25,0.0571865439414978,0.040578365325927734,0.06725287437438965,0.027609825134277344,0.1874187978409506,0.09144409334829684,0.10068911796912927,0.0834240948934698,0.07259583473205566,0.08091106083999941,0.02963244915008545
27,0.004544377326965332,0.0017192363739013672,0.008530914783477783,0.00482487678527832,0.021201318881393982,0.06901473636608446,0.06869571829032683,0.0678908663039296,0.006628990173339844,0.028116781698299724,0.08515322208404541
28,0.31986939907073975,0.34087255597114563,0.2250221073627472,0.5814926028251648,0.43829071716321266,0.4274095328355551,0.40604518320160643,0.4522645912902788,0.38516950607299805,0.39738179953260544,0.11270890384912491
29,0.00818544626235962,0.12425887584686279,0.06710922718048096,0.22067320346832275,0.09802704405739449,0.16432877696901815,0.17413061216932246,0.3074797470807856,0.1496216058731079,0.14597939321196163,0.026249229907989502
37,0.010511219501495361,0.19579041004180908,0.060474514961242676,0.2880975604057312,0.19338886765447127,0.30262350662658377,0.2288995239444409,0.3858572418172266,0.07861042022705078,0.19380591835333905,0.17067742347717285
38,0.1911667436361313,0.32728251814842224,0.07231792062520981,0.3552802801132202,0.4509705869540751,0.46553815085562894,0.4149571453668478,0.47737170163772197,0.3225841820240021,0.3419410254845843,0.4139380156993866
43,0.5279423594474792,0.8721773624420166,0.8678900003433228,0.6892793774604797,0.4179468788688454,0.43647500896928604,0.4890171483457179,0.42215072714133245,0.6354578733444214,0.5953707484847668,0.7072218060493469
46,0.8505362570285797,0.7036516964435577,0.6816286444664001,0.8830812200903893,0.5267595192344103,0.5121520822673993,0.5008557141464876,0.538455900070332,0.910468801856041,0.6786210928448441,0.521160900592804
53,0.7634413242340088,0.47287502884864807,0.20382913947105408,0.17880506813526154,0.4184250185238262,0.3615229003992652,0.32087643460048104,0.31986273925898434,0.2953040301799774,0.3705490759612785,0.5431762933731079
55,0.005863666534423828,0.013044655323028564,0.012699544429779053,0.014083325862884521,0.04853223497048054,0.07438860310120832,0.08105711190519382,0.0599394827583809,0.00539475679397583,0.0350003757421506,0.08515322208404541
56,0.5392256081104279,0.08815920352935791,0.03419673442840576,0.1487046480178833,0.3911076937794751,0.22589863164999913,0.21108117356379008,0.37529792539774076,0.1587417721748352,0.24137926562799056,0.2643541693687439
63,0.12222343683242798,0.3453337252140045,0.08857440948486328,0.0910106748342514,0.33678124857268843,0.37622081295917353,0.3722570727162063,0.36159713299126955,0.19501712918281555,0.2543350714208556,0.16054782271385193
64,0.10915744304656982,0.15060818195343018,0.21948564052581787,0.19027292728424072,0.317727828237808,0.2641333002726506,0.28536030801609835,0.4123327271885454,0.49587881565093994,0.2716619080195668,0.6787041425704956
80,0.033090054988861084,0.008874118328094482,0.02326643466949463,0.19878584146499634,0.10512191563977524,0.15897651313109262,0.18023530368931517,0.23527976488725433,0.053968608379364014,0.11084428390869422,0.03462761640548706
83,0.0020511746406555176,0.017118215560913086,0.003084540367126465,0.007413804531097412,0.16610109485119384,0.13222104898491294,0.0667423386723488,0.11170743640755976,0.004125416278839111,0.05672945225496077,0.08515322208404541
85,0.5368671417236328,0.4814606308937073,0.48631078004837036,0.4670844078063965,0.487609844905089,0.43073741256414133,0.4673375298626905,0.47388283183518864,0.7008299231529236,0.5035689447546823,0.43199047446250916
94,0.06761711835861206,0.016626715660095215,0.5474020540714264,0.20613515377044678,0.2605388603939153,0.16264148838721537,0.54765448521554,0.4096607964478456,0.5237544476985931,0.3046701244448544,0.020089030265808105
96,0.3464166522026062,0.6462114453315735,0.6344473361968994,0.30324339866638184,0.5441504033871734,0.5596302164905,0.5554560649753219,0.4568011574466755,0.41487830877304077,0.4956927759411303,0.4378216862678528
107,0.43517106771469116,0.2503717541694641,0.7801833748817444,0.6207311749458313,0.44213614378728283,0.3129172325921858,0.42486682605878956,0.39726185498731104,0.43666595220565796,0.4555894868158842,0.8827582597732544
108,0.5407416224479675,0.3733566403388977,0.2023640275001526,0.28852635622024536,0.5730376156373445,0.5488880556133229,0.5610712566004707,0.5518257250092358,0.3708316683769226,0.4456269964160622,0.1476607322692871
113,0.015844345092773438,0.0050241947174072266,0.009510278701782227,0.01190119981765747,0.1406636989124559,0.0985262942111782,0.1227552953792681,0.11199952005805469,0.18094933032989502,0.07746379524671915,0.027572691440582275
115,0.13547083735466003,0.14228563010692596,0.32395273447036743,0.5858587026596069,0.30304544670131356,0.3131570422919115,0.3344534014944688,0.4341430095127099,0.3510451912879944,0.32482355509777316,0.543544590473175
123,0.26647496223449707,0.2610378861427307,0.3230089545249939,0.3520474135875702,0.44669436435922266,0.43682213707968315,0.42152212742536554,0.4350399791025034,0.0762401893734932,0.3354320015366733,0.7008512616157532
131,0.3992992639541626,0.3444627523422241,0.4011949300765991,0.2179659754037857,0.3744419488457212,0.4232576682989413,0.378266551980507,0.3801875981780018,0.08727497607469559,0.3340390739060709,0.9001253247261047
141,0.5162601470947266,0.07949358224868774,0.17602097988128662,0.3456960916519165,0.4144421003744224,0.5270272014185279,0.3788211791946232,0.5134408721440749,0.10818159580230713,0.3399315277567303,0.5702032446861267
144,0.1623663753271103,0.12439795583486557,0.0968986377120018,0.4761764407157898,0.5001197245386945,0.43718915753226545,0.42191681274322923,0.4910114987039206,0.07265060395002365,0.30919191189532236,0.6354755759239197
151,0.09183519333600998,0.08421258628368378,0.15365394949913025,0.4108896553516388,0.4119639077505755,0.4070614604084387,0.42089374875997954,0.3796046532701155,0.1411094069480896,0.2779138401786291,0.7304429411888123
163,0.8756750822067261,0.19720198214054108,0.25661787390708923,0.548006534576416,0.6223149472157669,0.45813769779624225,0.4595542456086269,0.4471708235720331,0.19672507047653198,0.4512671397222193,0.9382985830307007
170,0.6136836409568787,0.3513370454311371,0.4282679557800293,0.33667436242103577,0.38066768576345444,0.36198747011744087,0.3569056435729946,0.32741851576911385,0.42453819513320923,0.397942279438366,0.2745516300201416
174,0.7774073481559753,0.8846753835678101,0.9207435250282288,0.8975675702095032,0.48031303805686987,0.4448762166798423,0.5011496083741632,0.47761678665430063,0.8114942312240601,0.6884270786611949,0.8589138388633728
179,0.08954501152038574,0.026978611946105957,0.10197979211807251,0.12397259473800659,0.38463627670345335,0.36094708848639456,0.38966385604785414,0.3606364043829584,0.26024699211120605,0.2331785142282708,0.12516850233078003
183,0.24904504418373108,0.09356747567653656,0.05417518690228462,0.07289905101060867,0.3801024346657976,0.39265961495156954,0.37084647245312274,0.39751252953067917,0.07200978696346283,0.23142417737086587,0.23177488148212433
184,0.1381826400756836,0.10267382860183716,0.2807035446166992,0.24274754524230957,0.30676564223657576,0.24319229797581599,0.29848900093611375,0.33345657502011994,0.10547035932540894,0.2279646037811738,0.03044915199279785
192,0.16034464538097382,0.5058726072311401,0.23800067603588104,0.13328969478607178,0.45696132963134084,0.46522851854346925,0.4396079690752762,0.45738174539802884,0.6290638446807861,0.38730567008477423,0.13299143314361572
193,0.41271260380744934,0.259831964969635,0.3740883469581604,0.24602791666984558,0.49493359261227005,0.4689708429424637,0.4705132350301993,0.4831810161047768,0.2946089208126068,0.38942982665637854,0.9116953015327454
195,0.0662725642323494,0.23018613457679749,0.15157131850719452,0.12221468985080719,0.26082218086906567,0.2687150687961757,0.2643376250890725,0.33680632251608594,0.31274113059043884,0.2237407816697764,0.09810619801282883
198,0.5381573438644409,0.25729674100875854,0.2561202645301819,0.10134972631931305,0.3931946926601723,0.2670708100730709,0.34652382414894534,0.3290607634079945,0.6759282350540161,0.3516336001185437,0.8746575713157654
201,0.19885194301605225,0.1651456654071808,0.25372013449668884,0.05062307417392731,0.43546320022456114,0.4321179117275706,0.41671032002956815,0.3960270509900327,0.2524164021015167,0.2890084113518998,0.21150831878185272
207,0.08095555007457733,0.17837533354759216,0.4702584743499756,0.19143551588058472,0.518634299319465,0.3983336171368258,0.4889324863698791,0.43219137292603316,0.3660847544670105,0.34724460045243816,0.9197441339492798
208,0.003444075584411621,0.019216716289520264,0.008737921714782715,0.03418529033660889,0.06685028055386733,0.07603183361280674,0.13497835010254677,0.11753243317657902,0.024213969707489014,0.053910096786512485,0.03834599256515503
209,0.6314059495925903,0.611524760723114,0.4538552165031433,0.22613421082496643,0.526186654185264,0.4556664067356471,0.4785745643138107,0.43480176111122,0.4605318605899811,0.475409042731082,0.12289629131555557
211,0.1705661416053772,0.3034454584121704,0.21554332971572876,0.3536829948425293,0.4465378383323607,0.5153581066260752,0.4987758968913796,0.49768931287157026,0.39602237939834595,0.37751349541061524,0.23917412757873535
212,0.12124520540237427,0.35428136587142944,0.32868480682373047,0.8170012831687927,0.5307869362714732,0.5784354616386986,0.6171106880966425,0.645588621109322,0.5048056542873383,0.499771113629978,0.9053258970379829
220,0.9503481388092041,0.9517848491668701,0.9339795112609863,0.39682435989379883,0.7950180550707725,0.7877369600479593,0.7799883607084666,0.6553197267430768,0.8170333504676819,0.785337034685424,0.9310723543167114
223,0.007748425006866455,0.022410452365875244,0.07418090105056763,0.19793981313705444,0.2521318074710771,0.19997414193029828,0.1903218067200072,0.5293133033671711,0.0804641842842102,0.1727205372592364,0.07403290271759033
225,0.35821256041526794,0.56385338306427,0.4409841299057007,0.6235515475273132,0.5342074677062787,0.5029128324582122,0.4434084464163876,0.6226662287880774,0.10124275088310242,0.46567103857384556,0.6893328428268433
230,0.6319515109062195,0.352055162191391,0.6142146587371826,0.17219425737857819,0.5351377885139557,0.44870927296166646,0.5050284583006417,0.4592094203084512,0.5986046195030212,0.4796783498667898,0.16517284512519836
235,0.1155053973197937,0.04210662096738815,0.08801847696304321,0.1294184774160385,0.3287475934076414,0.32926469405114867,0.3373692047126076,0.3230016631583328,0.0835799127817154,0.19744578230863435,0.9727727770805359
239,0.5642456412315369,0.21072790026664734,0.2220126986503601,0.23763331770896912,0.3759194322340795,0.3930604261917203,0.35676245861747197,0.3594724800653835,0.2756727933883667,0.33283412759494835,0.6436293721199036
247,0.06209385395050049,0.044498324394226074,0.034704506397247314,0.3037418723106384,0.3041806067793543,0.28426061250750734,0.2533280389653261,0.35481313700049943,0.21675187349319458,0.206485869533166,0.034705519676208496
266,0.4669528305530548,0.5415138006210327,0.5440090894699097,0.5315080285072327,0.4568332856905791,0.45222223752486435,0.5058837651214234,0.4479652123294187,0.44192585349082947,0.487646011478705,0.6113795638084412
270,0.8168499767780304,0.40619808435440063,0.2590530514717102,0.7037167549133301,0.5435584330864394,0.5486237593494955,0.4916611742115864,0.5444002016608392,0.4024777412414551,0.5240599085630319,0.45062893629074097
271,0.12113326787948608,0.4563472867012024,0.03340435028076172,0.25734299421310425,0.3054492507246188,0.2739449997185507,0.3276867442735505,0.4171559073406148,0.42962515354156494,0.29134332829705045,0.018032431602478027
306,0.5698953866958618,0.22761759161949158,0.46315911412239075,0.38425156474113464,0.37767423010629225,0.3628118796384554,0.35927808055934407,0.37226827271491153,0.24667802453041077,0.37373712719203245,0.7087205052375793
309,0.24692243337631226,0.522788941860199,0.541691243648529,0.3023538887500763,0.4633629120504213,0.4245672003441914,0.4510592390150833,0.41357649979378236,0.1176813617348671,0.38711152450816244,0.5726402997970581
318,0.2857375144958496,0.03813064098358154,0.08209550380706787,0.21161574125289917,0.24139206382947154,0.24750619409998165,0.20071574764974642,0.2590061752408783,0.017836451530456543,0.17600400365443694,0.041655898094177246
328,0.45286399126052856,0.7233777046203613,0.5351088643074036,0.3070525825023651,0.4718380859346004,0.44229442298289706,0.445540397994956,0.4454624361592549,0.6349307894706726,0.49538547502589325,0.1829977184534073
330,0.07804659008979797,0.16532175242900848,0.17833682894706726,0.040483102202415466,0.3796293606146379,0.4012029355389025,0.37610123037085424,0.40318850926838123,0.14661341905593872,0.24099152539077823,0.5144380927085876
332,0.017305314540863037,0.030960559844970703,0.022969961166381836,0.015359044075012207,0.08055193467496269,0.0696691679469904,0.08694877997077488,0.14004303359030001,0.003103017807006836,0.051878979290806954,0.08515322208404541
333,0.2646346688270569,0.5146738588809967,0.06532865762710571,0.4274570941925049,0.3711336387994152,0.38396386232392954,0.21223583491600062,0.5283680767565164,0.056761980056762695,0.3138397413755876,0.08562856912612915
