,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>
1,0.5821985602378845,0.2155018299818039,0.48024168610572815,0.387442946434021,0.4625294835440302,0.48050822191337295,0.4810015161813825,0.48305673073764943,0.34768232703208923,0.43557370024088465,0.05964569002389908
7,0.9451589584350586,0.7381971478462219,0.9204260110855103,0.8660225868225098,0.42362825081526223,0.3900343067656658,0.4056455821961177,0.49914747294440576,0.5159782767295837,0.6338042881822595,0.1971690058708191
9,0.19136661291122437,0.17741471529006958,0.1747785210609436,0.47828036546707153,0.22785518072534483,0.25838060576547717,0.23922255776348844,0.45836751670058007,0.40252214670181274,0.2897986913762236,0.7682200372219086
11,0.5194463729858398,0.6215754151344299,0.5662964582443237,0.3052719831466675,0.5568992011770715,0.5324554246563842,0.5455256828960171,0.5779680435331652,0.8152395486831665,0.5600753478285628,0.2631274163722992
13,0.07841414213180542,0.07577258348464966,0.17706304788589478,0.10131692886352539,0.40994202413489933,0.4256293670633693,0.4436321264407057,0.4445521364646007,0.4647776484489441,0.2912333338798216,0.15957164764404297
16,0.0060302019119262695,0.02696859836578369,0.004735827445983887,0.0020712614059448242,0.016538275536219782,0.045505789555789655,0.03965119588361243,0.06944016956030263,0.026176035404205322,0.026346372785529832,0.025669574737548828
20,0.3416542410850525,0.28273072838783264,0.2107425332069397,0.6179059147834778,0.47277136518438284,0.4201548740952071,0.43554985966460413,0.5256748240872642,0.1732160747051239,0.38671115724443167,0.1826283186674118
22,0.37354475259780884,0.11186200380325317,0.11673831939697266,0.17745018005371094,0.39292181748731714,0.2773950458019989,0.19350575107227808,0.4065987929614143,0.10616821050643921,0.2395760970756882,0.03870576620101929
25,0.09035402536392212,0.011719942092895508,0.07176470756530762,0.11457139253616333,0.1052426146477421,0.08534251488266731,0.10673132537556185,0.2110065805213478,0.013547241687774658,0.09003114940815359,0.03854262828826904
27,0.002191483974456787,0.004262447357177734,0.005825817584991455,0.014241576194763184,0.021033848903080354,0.03646032235242769,0.044564754366759884,0.0966873798273471,0.0025844573974609375,0.02531689866205168,0.025669574737548828
