,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>
9,0.46861228346824646,0.42728760838508606,0.40440288186073303,0.4270583391189575,0.4586533853539691,0.4357417423207186,0.4271232483865151,0.4509594859030859,0.45614099502563477,0.4395533299803274,0.5811940431594849
11,0.7462739944458008,0.489775151014328,0.5823135375976562,0.5622440576553345,0.4628073150618394,0.521729512584364,0.4974965151281102,0.45515770003466494,0.6336175203323364,0.5501572559838261,0.8171356916427612
16,0.09162414073944092,0.37459659576416016,0.03666527196764946,0.03921777382493019,0.37596985547499245,0.42196607452880786,0.39778378129086306,0.38342502044586957,0.12020795047283173,0.24905071827883837,0.08741632103919983
19,0.3236752152442932,0.35463887453079224,0.3951537609100342,0.580388069152832,0.4326600923378038,0.40834900026937054,0.3780914948859209,0.45950511000508704,0.383758544921875,0.412913351362001,0.20577183365821838
22,0.617972731590271,0.6709863543510437,0.5340196490287781,0.4131680130958557,0.5126272542155756,0.5626587502337003,0.5221515617320835,0.4760106266896775,0.5127031803131104,0.5358109023611218,0.5261515378952026
26,0.39969944953918457,0.4737510681152344,0.4763098955154419,0.4811307489871979,0.4439764082287866,0.40743369855120726,0.41110795409725887,0.44132987487879466,0.4331807792186737,0.44087998634797554,0.3381267488002777
40,0.30810537934303284,0.4314967691898346,0.41712769865989685,0.38534438610076904,0.45666519431994046,0.48619393933071203,0.4329863113343865,0.43303582636583315,0.4435935616493225,0.42161656292152533,0.476911723613739
43,0.4193594455718994,0.4563416838645935,0.5402411222457886,0.4890141785144806,0.43992649314692306,0.3980076328808495,0.4090472127967157,0.4290722539807716,0.4331807792186737,0.446021200246744,0.38196825981140137
49,0.5524204969406128,0.5986379384994507,0.4085705280303955,0.5081112384796143,0.5086081981657087,0.4624037325310831,0.4889928552352166,0.4728833969488753,0.513893187046051,0.5016135079863342,0.32804471254348755
51,0.41006404161453247,0.43654873967170715,0.419016569852829,0.49462443590164185,0.45028888080572815,0.40429952635617267,0.4014997267428815,0.4756379418906338,0.4265218675136566,0.43538908114997593,0.16320590674877167
53,0.42440614104270935,0.39577963948249817,0.40440288186073303,0.40842998027801514,0.43612436753437206,0.4105334406787056,0.4220657812036602,0.4445413562982901,0.4435935616493225,0.4210974611142563,0.40724870562553406
55,0.647646963596344,0.5668666958808899,0.6760437488555908,0.41950124502182007,0.4758711959347408,0.5132890078172558,0.5130224688724866,0.45703674914848996,0.5694787502288818,0.5376396472618333,0.617047905921936
56,0.4000881314277649,0.5561885237693787,0.5173426866531372,0.5050116181373596,0.5133547179567277,0.5355905694253373,0.535987558400563,0.474788307956335,0.5665152072906494,0.5116519245574724,0.4871811270713806
57,0.7274827361106873,0.6991273164749146,0.6834865808486938,0.6055548191070557,0.5094652676612863,0.5404571860043806,0.543004656349766,0.48232181372618965,0.7162972688674927,0.611910849461163,0.46481019258499146
64,0.3357546925544739,0.6066606044769287,0.5577392578125,0.43419530987739563,0.4464129259837186,0.42540176270214175,0.45917738708240435,0.4373696763193196,0.3687240481376648,0.45238174054961633,0.3881637752056122
68,0.42416536808013916,0.4435158371925354,0.5998875498771667,0.46048685908317566,0.44222816202682913,0.4478501802379533,0.5609195494494199,0.44988076186043807,0.4546148478984833,0.47594990174512675,0.46248435974121094
71,0.6284443140029907,0.48919007182121277,0.684157133102417,0.5169129371643066,0.4680592469145581,0.49657376931078934,0.5503292073317241,0.46278500919296467,0.45614099502563477,0.5280658537629553,0.4171759784221649
73,0.6293264031410217,0.5254510045051575,0.5520549416542053,0.69959557056427,0.5174321624617305,0.5023175020024954,0.48947470446977887,0.44424634029820675,0.5936627984046936,0.55039571416684,0.6412590146064758
76,0.24100835621356964,0.49072566628456116,0.32933205366134644,0.10755743086338043,0.39539881896170853,0.5145733580180375,0.4419816514119638,0.4730878549558904,0.3227508068084717,0.3684906663532144,0.18883562088012695
77,0.5017502903938293,0.593074381351471,0.4558047950267792,0.5429502725601196,0.45695154509667857,0.47570783813491574,0.39360596733271613,0.4416370466678887,0.5451030135154724,0.4896205722310967,0.5901464223861694
79,0.43830838799476624,0.3632197976112366,0.364278107881546,0.4741274416446686,0.4515641761292264,0.3945848806417031,0.4324553463134941,0.4421466394648392,0.38993600010871887,0.4167356419766887,0.3866194784641266
81,0.5900946259498596,0.5532769560813904,0.4683227241039276,0.46812713146209717,0.47137052923354744,0.4407079816160192,0.4647659415318221,0.4349639618509707,0.49186909198760986,0.48705543820191605,0.44585856795310974
82,0.4290910065174103,0.41854459047317505,0.42989182472229004,0.48655402660369873,0.43057236292545253,0.3966599161386288,0.4307990226204691,0.4294395914719844,0.4718857407569885,0.43593756469223305,0.3946392834186554
86,0.5325573682785034,0.49892738461494446,0.5236314535140991,0.5172885656356812,0.47107409119868515,0.48681934424486917,0.44499748827777597,0.4468612281911383,0.5076785087585449,0.4922039369682491,0.4616546630859375
88,0.47470903396606445,0.44861170649528503,0.5068626999855042,0.29692497849464417,0.45683798931753267,0.46493368105448263,0.4874992892683002,0.431662291051146,0.4981362223625183,0.45179754355505314,0.4531461000442505
90,0.45398059487342834,0.5102106928825378,0.4181598722934723,0.4765525162220001,0.4727372032359492,0.5035156899493073,0.52450909802852,0.4912310490179248,0.4425400197505951,0.477048526250415,0.3843993842601776
93,0.4582785367965698,0.4602494537830353,0.47404879331588745,0.5043800473213196,0.45683798931753267,0.4813425506208056,0.4940342654789099,0.48244179795441444,0.465087890625,0.47518903613483054,0.4862891137599945
102,0.5875927209854126,0.5038344264030457,0.6790622472763062,0.6563662886619568,0.49920732565766046,0.46704348364919185,0.5215349242246752,0.5056194375813532,0.6206182837486267,0.5600976820209144,0.7368308901786804
115,0.37614569067955017,0.37825247645378113,0.3612368106842041,0.3786299228668213,0.4465578025572175,0.4143804198940563,0.42969000146745756,0.4275679128473253,0.4107656180858612,0.40258073950403056,0.35758909583091736
121,0.4816816449165344,0.4575231969356537,0.46883532404899597,0.4864066541194916,0.46223159944054065,0.4362551917852713,0.4463571024738658,0.47262801220505074,0.4465675950050354,0.4620540356589377,0.31245607137680054
124,0.4582785367965698,0.4750783145427704,0.3460669219493866,0.5161545276641846,0.45302333076016327,0.4082539411523133,0.43383493383904054,0.4318010383419837,0.4265218675136566,0.43877926806222983,0.3888195753097534
127,0.35263675451278687,0.5250726938247681,0.5334464907646179,0.41752374172210693,0.4512880131919404,0.47983835404143216,0.5381284130275383,0.42959707427475174,0.44186875224113464,0.4632666986223419,0.6721931099891663
128,0.5211979746818542,0.2786283791065216,0.5058798789978027,0.40813565254211426,0.4657378134315687,0.43441379579683537,0.4398471886591082,0.43140990464003764,0.41136541962623596,0.43295733416467536,0.3079913854598999
129,0.455890953540802,0.4916454553604126,0.5175206065177917,0.44568347930908203,0.45745954317386955,0.49901672594338775,0.5195864507577813,0.473654068091815,0.4818125367164612,0.48247442437904475,0.4031514525413513
152,0.44485002756118774,0.6230643391609192,0.5175206065177917,0.4956234395503998,0.46411216965475427,0.6066356064299199,0.5184824110077302,0.48758346400636543,0.43861451745033264,0.5107207312599334,0.4022959768772125
155,0.5459543466567993,0.360920250415802,0.300597608089447,0.3981342911720276,0.50981426157957,0.3753578705290083,0.4402987784326523,0.5996278558889094,0.3954206109046936,0.4362362081854344,0.1181538850069046
