,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_5,dew_top_None
sensitivity,0.6616,0.70118,0.67306,0.6843600000000001,0.47538,0.51286,0.4828,0.47969999999999996,0.65744,0.64956,0.70952,0.6442,0.6492600000000001,0.63988,0.6352800000000001
specificity,0.8189399999999999,0.8431599999999999,0.83736,0.84026,0.8218400000000001,0.8316600000000001,0.8350199999999999,0.8577,0.81942,0.8744999999999999,0.829,0.8466800000000001,0.8653000000000001,0.87536,0.8778
ppv,0.7487,0.7845599999999999,0.7712600000000001,0.77738,0.6855,0.7129800000000001,0.7056,0.7340399999999999,0.7478999999999999,0.80838,0.7719600000000001,0.77412,0.7977000000000001,0.8079599999999999,0.80962
npv,0.74832,0.77608,0.75884,0.76582,0.6580199999999999,0.67712,0.66474,0.6694599999999999,0.74604,0.7539800000000001,0.7784200000000001,0.7453000000000001,0.75202,0.7492,0.7473799999999999
gmean_sens_spec,0.73602,0.76888,0.7506600000000001,0.75826,0.62492,0.65296,0.6348,0.64118,0.73396,0.7536800000000001,0.76668,0.73834,0.7493399999999999,0.74822,0.74654
gmean_all_metrics,0.74224,0.77458,0.7578400000000001,0.7649,0.6478200000000001,0.67352,0.6593,0.67038,0.7404200000000001,0.7670999999999999,0.7708799999999999,0.74882,0.76178,0.76294,0.762
roc_auc,0.8313,0.8629999999999999,0.8431000000000001,0.8510199999999999,0.72988,0.75126,0.7421800000000001,0.7519,0.8317800000000002,0.85466,0.8581,0.82584,0.85052,0.8528,0.85006
accuracy,0.74834,0.7794399999999999,0.76364,0.7703,0.66636,0.68858,0.6769800000000001,0.68804,0.7467600000000001,0.77356,0.77538,0.7558,0.76836,0.7697,0.7689600000000001
sensitivity,0.5987,0.65522,0.62456,0.60182,0.45172,0.49072000000000005,0.48267999999999994,0.38270000000000004,0.6042,0.59302,0.64778,0.61668,0.61416,0.60124,0.5997200000000001
specificity,0.7892800000000001,0.8210000000000001,0.8127799999999998,0.80806,0.82402,0.8264400000000001,0.8160399999999999,0.8775600000000001,0.80732,0.859,0.79798,0.7731600000000001,0.80586,0.8232800000000001,0.8317599999999998
ppv,0.69892,0.74898,0.7308999999999999,0.7187,0.6786199999999999,0.69848,0.68276,0.7189800000000001,0.71876,0.7744199999999999,0.72342,0.6898,0.72136,0.7359399999999999,0.7445600000000001
npv,0.7071400000000001,0.74516,0.72668,0.7137,0.64872,0.66606,0.65988,0.63594,0.71472,0.7216400000000001,0.73602,0.7126999999999999,0.71984,0.71742,0.71886
gmean_sens_spec,0.6872999999999999,0.7333999999999999,0.71248,0.6972799999999999,0.6094999999999999,0.6363399999999999,0.62676,0.5791,0.6983599999999999,0.7137,0.71862,0.69004,0.70306,0.70312,0.7058199999999999
gmean_all_metrics,0.6950799999999999,0.7402200000000001,0.7205799999999999,0.7066399999999999,0.63582,0.65872,0.6485,0.6256999999999999,0.70748,0.7303999999999999,0.7241,0.69554,0.7117000000000001,0.7147,0.7185400000000002
roc_auc,0.7753599999999999,0.82696,0.80824,0.78956,0.70956,0.73324,0.7230800000000001,0.7205,0.7928599999999999,0.81606,0.80654,0.7712600000000001,0.79674,0.79924,0.80206
accuracy,0.70374,0.74658,0.7283200000000001,0.71548,0.65692,0.6757600000000001,0.6664399999999999,0.6554599999999999,0.7161799999999999,0.73966,0.73058,0.70294,0.71984,0.72366,0.7276400000000001
sensitivity,0.5566199999999999,0.5941,0.58266,0.52908,0.3946,0.47181999999999996,0.47896,0.32662,0.56208,0.53338,0.59676,0.52344,0.5225199999999999,0.51214,0.49219999999999997
specificity,0.78382,0.8033199999999999,0.7956,0.7837,0.8328599999999999,0.8050200000000001,0.79374,0.8618,0.7954399999999999,0.8374600000000001,0.78118,0.78684,0.82112,0.8353999999999999,0.8459199999999999
ppv,0.6770800000000001,0.7109,0.6988999999999999,0.6657,0.6585000000000001,0.6636000000000001,0.6555000000000001,0.6606799999999999,0.6913600000000001,0.7278800000000001,0.69004,0.6670999999999999,0.70442,0.7175400000000001,0.7232000000000001
npv,0.68468,0.70854,0.7007199999999999,0.67156,0.62828,0.6518200000000001,0.6517200000000001,0.6112400000000001,0.69056,0.6879,0.70448,0.6697799999999999,0.67872,0.67778,0.67172
gmean_sens_spec,0.66046,0.6908199999999999,0.68076,0.6438,0.57298,0.61618,0.61614,0.5297799999999999,0.66854,0.6683,0.6822199999999999,0.6415600000000001,0.6548999999999999,0.65396,0.6451
