,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>
9,0.6503395438194275,0.6638491749763489,0.7442945241928101,0.7909122109413147,0.5319348162241321,0.5269803689135704,0.5648584900614237,0.5427340746910929,0.6445706486701965,0.6289415391655907,0.4496288299560547
11,0.6279188394546509,0.6400617361068726,0.5977805852890015,0.3924630582332611,0.520230924046426,0.5283643235804495,0.5246645907737206,0.4551204315821689,0.6225420832633972,0.5454607302588831,0.7034664750099182
16,0.6698801517486572,0.6129394769668579,0.7157241702079773,0.48556971549987793,0.4872485038058816,0.49135558954332254,0.4792109025789552,0.45661030615335724,0.49750766158103943,0.5440051642317696,0.5534130930900574
19,0.40350568294525146,0.05723728612065315,0.17844519019126892,0.15028443932533264,0.5236464491248284,0.4448402722790334,0.4622306420322324,0.4463122458725099,0.16631297767162323,0.3147572428403037,0.029327958822250366
22,0.5651787519454956,0.6154620051383972,0.7445212006568909,0.545385479927063,0.5210787780263975,0.5805812241835163,0.5179640061630804,0.49893223206493575,0.6399294137954712,0.5810036768779164,0.7691599130630493
26,0.29232344031333923,0.05496656149625778,0.10139621049165726,0.17935076355934143,0.5585312696055529,0.5491301432120615,0.5388086733428684,0.4643178575307217,0.20747381448745728,0.327366526004362,0.08186672627925873
40,0.4491595923900604,0.03702398017048836,0.07342925667762756,0.06543026864528656,0.5331451250953917,0.4869495450733068,0.4969210133705466,0.44718763475479517,0.06284796446561813,0.2946771534047913,0.018942926079034805
43,0.3752771019935608,0.702246367931366,0.34546053409576416,0.4460863769054413,0.4282378624786709,0.4865424738735017,0.3686971298681962,0.4308708417328235,0.2922837734222412,0.4306336069223962,0.3870254158973694
49,0.54512619972229,0.6252486109733582,0.5726394057273865,0.5366051197052002,0.5040746342703073,0.5326534174501371,0.5252909422270329,0.4984448103951191,0.5504453182220459,0.5433920509658753,0.4917488694190979
51,0.5232570767402649,0.619997501373291,0.741535484790802,0.5373440384864807,0.44629633774215594,0.4860938818062698,0.55417374735186,0.4414396919347096,0.6200871467590332,0.5522472118872074,0.6584470272064209
